"aX","aY","aZ","gX","gY","gZ"
0.188,-0.675,-0.594,-31.006,-18.555,14.893
0.243,-0.622,-0.416,-23.987,-8.850,4.028
0.295,-0.663,-0.435,-14.587,16.052,-17.090
0.356,-0.900,-0.651,-18.433,21.973,-18.066
0.304,-0.915,-0.706,-21.484,19.287,-11.108
0.162,-0.735,-0.633,-13.977,3.540,4.883
0.152,-0.711,-0.590,-2.014,1.221,3.479
0.189,-0.741,-0.581,19.226,1.770,-6.348
0.261,-0.804,-0.599,20.264,0.732,-6.592
0.260,-0.801,-0.596,14.587,-0.610,-1.770
0.238,-0.759,-0.580,11.780,-0.366,-0.366
0.236,-0.755,-0.577,6.531,0.610,-0.427
0.244,-0.776,-0.598,6.897,0.977,-1.038
0.244,-0.779,-0.601,8.179,0.793,-1.221
0.240,-0.774,-0.598,8.057,-0.366,0.061
0.240,-0.764,-0.596,7.690,-0.427,0.244
0.244,-0.763,-0.597,7.629,0.793,-0.549
0.247,-0.765,-0.606,7.019,1.526,-0.732
0.243,-0.765,-0.610,3.906,1.099,0.549
0.229,-0.755,-0.621,2.686,0.427,1.404
0.224,-0.750,-0.624,3.113,-0.427,1.648
